Source:,/home/kolijn/Temp/ttntrackernode/schematic/v3/gps_node.sch,,,,,,,,,,,,
Date:,Sun 11 Nov 2018 14:27:34 SAST,,,,,,,,,,,,
Tool:,Eeschema 5.0.0-fee4fd1~66~ubuntu16.04.1,,,,,,,,,,,,
Generator:,/usr/share/kicad/plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,
Component Count:,73,,,,,,,,,,,,
,,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,,
,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Digikey,Manufacturer,,,,,
13,1,F1,Polyfuse,gps_node-rescue:Polyfuse,gps_node_components:bourns polyfuse,,,,,,,,
14,1,IC1,MCP73831/2,gps_node-rescue:MCP73831_2,TO_SOT_Packages_SMD:SOT-23-5,,,Microchip Technology,,,,,
15,4,"J1, J2, J3, J4",Mounting Hole,gps_node-rescue:Conn_01x01,Mounting_Holes:MountingHole_3.2mm_M3_ISO14580_Pad,,,,NO Populate,,,,
16,1,J5,TEST Vbatt,gps_node-rescue:Conn_01x01,Socket_Strips:Socket_Strip_Straight_1x01_Pitch2.54mm,,,,NO Populate,,,,
17,1,J6,USB_OTG,gps_node-rescue:USB_OTG,gps_node_components:Molex_Microusb,,,,NO Populate,,,,
18,1,J7,Test 3.3v,gps_node-rescue:Conn_01x01,Socket_Strips:Socket_Strip_Straight_1x01_Pitch2.54mm,,,,NO Populate,,,,
19,1,J8,Test Gnd,gps_node-rescue:Conn_01x01,Socket_Strips:Socket_Strip_Straight_1x01_Pitch2.54mm,,,,NO Populate,,,,
20,1,J9,Test V_bak,gps_node-rescue:Conn_01x01,Socket_Strips:Socket_Strip_Straight_1x01_Pitch2.54mm,,,,NO Populate,,,,
21,1,J11,AVR ICSP,gps_node-rescue:Conn_02x03_Odd_Even,Pin_Headers:Pin_Header_Straight_2x03_Pitch2.54mm,,,,NO Populate,,,,
22,1,J12,UART RF,gps_node-rescue:Conn_01x03,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,,,,NO Populate,,,,
23,1,J13,LIPO_BAT,gps_node-rescue:Conn_01x02,Connectors_Molex:Molex_PicoBlade_53047-0210_02x1.25mm_Straight,,,,,,,455-1704-ND,
24,1,J15,UART GPS,gps_node-rescue:Conn_01x03,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,,,,NO Populate,,,,
25,1,J16,FW_UPDATE,gps_node-rescue:Conn_01x06,Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm,,,,NO Populate,,,,
26,1,J17,u.FL connector,gps_node-rescue:Conn_Coaxial,gps_node_components:CONN-RF-UFL,,,,,,,,
27,1,R1,10k,gps_node-rescue:R_Small,Resistors_SMD:R_0805,,,,,,,,
28,2,"R2, R3",220,gps_node-rescue:R-Device,Resistors_SMD:R_0805,~,,,,,,,
29,2,"R4, R5",22,gps_node-rescue:R-Device,Resistors_SMD:R_0805,~,,,,,,,
30,3,"R6, R10, R11",10k,gps_node-rescue:R-Device,Resistors_SMD:R_0805,~,,,,,,,
31,2,"R12, R13",1k,gps_node-rescue:R-Device,Resistors_SMD:R_0805,~,,,,,,,
32,1,R14,2k,gps_node-rescue:R_Small,Resistors_SMD:R_0805,,,,,,,,
33,2,"R15, R16",100k,gps_node-rescue:R-Device,Resistors_SMD:R_0805,~,,,,,,,
34,2,"R17, R18",470,gps_node-rescue:R,Resistors_SMD:R_0805,,,,,,,,
35,1,SW1,RS stock no. 448-0747,gps_node-rescue:SW_SPDT,EG1224:EG1224_Switch,,,,,,,,
36,2,"SW2, SW3",SW_Push,gps_node-rescue:SW_Push-Switch,Buttons_Switches_SMD:SW_SPST_PTS645,,,,NO Populate,,,,
37,2,"U1, U3",TLV71333PDBV,gps_node-rescue:TLV71333PDBV,TO_SOT_Packages_SMD:SOT-23-5,,,,,,,,
38,1,U2,ublox-cam-m8q-0,drawn_by_jpmeijers:ublox-cam-m8q-0,drawn_by_jpmeijers:ublox-cam-m8q-0,,,,,,,,
39,1,U4,ATMEGA32U4-AU,gps_node-rescue:ATMEGA32U4-AU,Housings_QFP:TQFP-44_10x10mm_Pitch0.8mm,,,,,,,,
40,1,U5,RN2483,drawn_by_jpmeijers:RN2483,drawn_by_jpmeijers:RN2483,,,,,,,,
41,1,U6,LIS3DH,gps_node-rescue:LIS3DH-STM-LISxxx,lga_16:LGA16-pitch0.5-3mmx3mm,,,,,,,,
42,1,Y1,16MHz,gps_node-rescue:Crystal,gps_node_components:QC3CA_16MHz,,,,,,,,
